year,make,model,body_styles
2000,Acura,Integra,"[""Sedan"", ""Hatchback""]"
2000,Acura,NSX,"[""Coupe"", ""Convertible""]"
2000,Acura,RL,"[""Sedan""]"
2000,Acura,TL,"[""Sedan""]"
2000,Audi,A4,"[""Wagon"", ""Sedan""]"
2000,Audi,A6,"[""Sedan"", ""Wagon""]"
2000,Audi,A8,"[""Sedan""]"
2000,Audi,S4,"[""Sedan""]"
2000,Audi,TT,"[""Coupe""]"
2000,BMW,3 Series,"[""Sedan"", ""Wagon"", ""Convertible"", ""Coupe""]"
2000,BMW,5 Series,"[""Sedan"", ""Wagon""]"
2000,BMW,7 Series,"[""Sedan""]"
2000,BMW,M,"[""Hatchback"", ""Convertible""]"
2000,BMW,M5,"[""Sedan""]"
2000,BMW,X5,"[""SUV""]"
2000,BMW,Z3,"[""Convertible"", ""Hatchback""]"
2000,BMW,Z8,"[""Convertible""]"
2000,Buick,Century,"[""Sedan""]"
2000,Buick,LeSabre,"[""Sedan""]"
2000,Buick,Park Avenue,"[""Sedan""]"
2000,Buick,Regal,"[""Sedan""]"
2000,Cadillac,Catera,"[""Sedan""]"
2000,Cadillac,DeVille,"[""Sedan""]"
2000,Cadillac,Eldorado,"[""Coupe""]"
2000,Cadillac,Escalade,"[""SUV""]"
2000,Cadillac,Seville,"[""Sedan""]"
2000,Chevrolet,2500 Crew Cab,"[""Pickup""]"
2000,Chevrolet,2500 HD Extended Cab,"[""Pickup""]"
2000,Chevrolet,2500 HD Regular Cab,"[""Pickup""]"
2000,Chevrolet,3500 Crew Cab,"[""Pickup""]"
2000,Chevrolet,3500 Extended Cab,"[""Pickup""]"
2000,Chevrolet,3500 Regular Cab,"[""Pickup""]"
2000,Chevrolet,Astro Cargo,"[""Van/Minivan""]"
2000,Chevrolet,Astro Passenger,"[""Van/Minivan""]"
2000,Chevrolet,Blazer,"[""SUV""]"
2000,Chevrolet,Camaro,"[""Coupe"", ""Convertible""]"
2000,Chevrolet,Cavalier,"[""Coupe"", ""Sedan"", ""Convertible""]"
2000,Chevrolet,Corvette,"[""Coupe"", ""Convertible""]"
2000,Chevrolet,Express 1500 Cargo,"[""Van/Minivan""]"
2000,Chevrolet,Express 1500 Passenger,"[""Van/Minivan""]"
2000,Chevrolet,Express 2500 Cargo,"[""Van/Minivan""]"
2000,Chevrolet,Express 2500 Passenger,"[""Van/Minivan""]"
2000,Chevrolet,Express 3500 Cargo,"[""Van/Minivan""]"
2000,Chevrolet,Express 3500 Passenger,"[""Van/Minivan""]"
2000,Chevrolet,Impala,"[""Sedan""]"
2000,Chevrolet,Lumina,"[""Sedan""]"
2000,Chevrolet,Malibu,"[""Sedan""]"
2000,Chevrolet,Metro,"[""Hatchback"", ""Sedan""]"
2000,Chevrolet,Monte Carlo,"[""Coupe""]"
