year,make,model,body_styles
2013,Acura,ILX,"[""Sedan""]"
2013,Acura,MDX,"[""SUV""]"
2013,Acura,RDX,"[""SUV""]"
2013,Acura,TL,"[""Sedan""]"
2013,Acura,TSX,"[""Sedan"", ""Wagon""]"
2013,Acura,ZDX,"[""SUV""]"
2013,Aston Martin,DB9,"[""Coupe"", ""Convertible""]"
2013,Aston Martin,Vantage,"[""Coupe"", ""Convertible""]"
2013,Audi,A3,"[""Wagon""]"
2013,Audi,A4,"[""Sedan""]"
2013,Audi,A5,"[""Convertible"", ""Coupe""]"
2013,Audi,A6,"[""Sedan""]"
2013,Audi,A7,"[""Sedan""]"
2013,Audi,A8,"[""Sedan""]"
2013,Audi,allroad,"[""Wagon""]"
2013,Audi,Q5,"[""SUV""]"
2013,Audi,Q7,"[""SUV""]"
2013,Audi,RS 5,"[""Coupe"", ""Convertible""]"
2013,Audi,S4,"[""Sedan""]"
2013,Audi,S5,"[""Coupe"", ""Convertible""]"
2013,Audi,S6,"[""Sedan""]"
2013,Audi,S7,"[""Sedan""]"
2013,Audi,S8,"[""Sedan""]"
2013,Audi,TT,"[""Convertible"", ""Coupe""]"
2013,Bentley,Continental,"[""Sedan"", ""Convertible"", ""Coupe""]"
2013,Bentley,Mulsanne,"[""Sedan""]"
2013,BMW,1 Series,"[""Coupe"", ""Convertible""]"
2013,BMW,3 Series,"[""Convertible"", ""Sedan"", ""Coupe""]"
2013,BMW,5 Series,"[""Sedan""]"
2013,BMW,6 Series,"[""Convertible"", ""Coupe""]"
2013,BMW,7 Series,"[""Sedan""]"
2013,BMW,M3,"[""Coupe"", ""Convertible""]"
2013,BMW,M5,"[""Sedan""]"
2013,BMW,M6,"[""Coupe"", ""Convertible""]"
2013,BMW,X1,"[""SUV""]"
2013,BMW,X3,"[""SUV""]"
2013,BMW,X5,"[""SUV""]"
2013,BMW,X5 M,"[""SUV""]"
2013,BMW,X6,"[""SUV""]"
2013,BMW,X6 M,"[""SUV""]"
2013,BMW,Z4,"[""Convertible""]"
2013,Buick,Enclave,"[""SUV""]"
2013,Buick,Encore,"[""SUV""]"
2013,Buick,LaCrosse,"[""Sedan""]"
2013,Buick,Regal,"[""Sedan""]"
2013,Buick,Verano,"[""Sedan""]"
2013,Cadillac,ATS,"[""Sedan""]"
2013,Cadillac,CTS,"[""Sedan"", ""Coupe"", ""Wagon""]"
2013,Cadillac,Escalade,"[""SUV""]"
2013,Cadillac,Escalade ESV,"[""SUV""]"
2013,Cadillac,Escalade EXT,"[""Pickup""]"
2013,Cadillac,SRX,"[""SUV""]"
2013,Cadillac,XTS,"[""Sedan""]"
2013,Chevrolet,Avalanche,"[""SUV""]"
2013,Chevrolet,Camaro,"[""Coupe"", ""Convertible""]"
2013,Chevrolet,Captiva Sport,"[""SUV""]"
2013,Chevrolet,Corvette,"[""Coupe"", ""Convertible""]"
2013,Chevrolet,Cruze,"[""Sedan""]"
2013,Chevrolet,Equinox,"[""SUV""]"
2013,Chevrolet,Express 1500 Cargo,"[""Van/Minivan""]"
2013,Chevrolet,Express 1500 Passenger,"[""Van/Minivan""]"
2013,Chevrolet,Express 2500 Cargo,"[""Van/Minivan""]"
2013,Chevrolet,Express 2500 Passenger,"[""Van/Minivan""]"
2013,Chevrolet,Express 3500 Cargo,"[""Van/Minivan""]"
2013,Chevrolet,Express 3500 Passenger,"[""Van/Minivan""]"
2013,Chevrolet,Impala,"[""Sedan""]"
2013,Chevrolet,Malibu,"[""Sedan""]"
2013,Chevrolet,Silverado 1500 Crew Cab,"[""Pickup""]"
2013,Chevrolet,Silverado 1500 Extended Cab,"[""Pickup""]"
2013,Chevrolet,Silverado 1500 Regular Cab,"[""Pickup""]"
2013,Chevrolet,Silverado 2500 HD Crew Cab,"[""Pickup""]"
2013,Chevrolet,Silverado 2500 HD Extended Cab,"[""Pickup""]"
2013,Chevrolet,Silverado 2500 HD Regular Cab,"[""Pickup""]"
2013,Chevrolet,Silverado 3500 HD Crew Cab,"[""Pickup""]"
2013,Chevrolet,Silverado 3500 HD Extended Cab,"[""Pickup""]"
2013,Chevrolet,Silverado 3500 HD Regular Cab,"[""Pickup""]"
2013,Chevrolet,Sonic,"[""Sedan"", ""Hatchback""]"
2013,Chevrolet,Spark,"[""Hatchback""]"
2013,Chevrolet,Suburban 1500,"[""SUV""]"
2013,Chevrolet,Suburban 2500,"[""SUV""]"
2013,Chevrolet,Tahoe,"[""SUV""]"
2013,Chevrolet,Traverse,"[""SUV""]"
2013,Chevrolet,Volt,"[""Sedan""]"
2013,Chrysler,200,"[""Sedan"", ""Convertible""]"
2013,Chrysler,300,"[""Sedan""]"
2013,Chrysler,Town & Country,"[""Van/Minivan""]"
2013,Dodge,Avenger,"[""Sedan""]"
2013,Dodge,Challenger,"[""Coupe""]"
2013,Dodge,Charger,"[""Sedan""]"
2013,Dodge,Dart,"[""Sedan""]"
2013,Dodge,Durango,"[""SUV""]"
2013,Dodge,Grand Caravan Passenger,"[""Van/Minivan""]"
2013,Dodge,Journey,"[""SUV""]"
2013,Ferrari,458 Italia,"[""Coupe""]"
2013,Ferrari,458 Spider,"[""Convertible""]"
2013,Ferrari,California,"[""Convertible""]"
2013,Ferrari,F12berlinetta,"[""Coupe""]"
2013,Ferrari,FF,"[""Coupe""]"
2013,FIAT,500,"[""Hatchback"", ""Convertible""]"
2013,FIAT,500e,"[""Hatchback""]"
2013,Ford,C-MAX Energi,"[""Wagon""]"
2013,Ford,C-MAX Hybrid,"[""Wagon""]"
2013,Ford,E150 Cargo,"[""Van/Minivan""]"
2013,Ford,E150 Passenger,"[""Van/Minivan""]"
2013,Ford,E250 Cargo,"[""Van/Minivan""]"
2013,Ford,E350 Super Duty Cargo,"[""Van/Minivan""]"
2013,Ford,E350 Super Duty Passenger,"[""Van/Minivan""]"
2013,Ford,Edge,"[""SUV""]"
2013,Ford,Escape,"[""SUV""]"
2013,Ford,Expedition,"[""SUV""]"
2013,Ford,Expedition EL,"[""SUV""]"
2013,Ford,Explorer,"[""SUV""]"
2013,Ford,F150 Regular Cab,"[""Pickup""]"
2013,Ford,F150 Super Cab,"[""Pickup""]"
2013,Ford,F150 SuperCrew Cab,"[""Pickup""]"
2013,Ford,F250 Super Duty Crew Cab,"[""Pickup""]"
2013,Ford,F250 Super Duty Regular Cab,"[""Pickup""]"
2013,Ford,F250 Super Duty Super Cab,"[""Pickup""]"
2013,Ford,F350 Super Duty Crew Cab,"[""Pickup""]"
2013,Ford,F350 Super Duty Regular Cab,"[""Pickup""]"
2013,Ford,F350 Super Duty Super Cab,"[""Pickup""]"
2013,Ford,F450 Super Duty Crew Cab,"[""Pickup""]"
2013,Ford,Fiesta,"[""Sedan"", ""Hatchback""]"
2013,Ford,Flex,"[""SUV""]"
2013,Ford,Focus,"[""Sedan"", ""Hatchback""]"
2013,Ford,Focus ST,"[""Hatchback""]"
2013,Ford,Fusion,"[""Sedan""]"
2013,Ford,Fusion Energi,"[""Sedan""]"
